<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.05.16	18:03:00	8604.4	8605.8	8604.3	8605.5	60	0	1
2022.05.16	18:04:00	8605.6	8606.3	8605.1	8605.5	60	0	1
2022.05.16	18:05:00	8605.4	8605.5	8604.7	8605.5	60	0	1
2022.05.16	18:06:00	8605.4	8605.7	8604.6	8604.9	60	0	1
2022.05.16	18:07:00	8604.8	8605.0	8603.4	8603.5	60	0	1
2022.05.16	18:08:00	8603.6	8604.4	8603.5	8604.3	60	0	1
2022.05.16	18:09:00	8604.2	8604.6	8602.7	8602.7	60	0	1
2022.05.16	18:10:00	8602.6	8602.9	8602.0	8602.5	60	0	1
2022.05.16	18:11:00	8602.6	8603.1	8602.3	8602.9	60	0	1
2022.05.16	18:12:00	8602.8	8603.7	8602.5	8603.5	60	0	1
2022.05.16	18:13:00	8603.6	8604.3	8603.1	8604.3	60	0	1
2022.05.16	18:14:00	8604.2	8604.8	8603.8	8604.7	60	0	1
2022.05.16	18:15:00	8604.6	8604.9	8604.3	8604.9	60	0	1
2022.05.16	18:16:00	8604.8	8604.9	8604.0	8604.1	60	0	1
2022.05.16	18:17:00	8604.2	8605.4	8604.1	8605.3	60	0	1
2022.05.16	18:18:00	8605.4	8607.4	8605.4	8607.3	60	0	1
2022.05.16	18:19:00	8607.4	8607.4	8605.8	8605.9	60	0	1
2022.05.16	18:20:00	8605.8	8606.3	8605.3	8605.5	60	0	1
2022.05.16	18:21:00	8605.4	8605.4	8604.5	8604.9	60	0	1
2022.05.16	18:22:00	8605.0	8605.4	8604.1	8604.3	60	0	1
2022.05.16	18:23:00	8604.4	8605.9	8604.4	8605.1	60	0	1
2022.05.16	18:24:00	8605.0	8606.1	8604.5	8605.9	60	0	1
2022.05.16	18:25:00	8606.0	8606.7	8605.4	8605.5	60	0	1
2022.05.16	18:26:00	8605.4	8606.0	8605.1	8605.5	60	0	1
2022.05.16	18:27:00	8605.4	8605.7	8604.6	8605.5	60	0	1
2022.05.16	18:28:00	8605.6	8607.5	8604.9	8607.5	60	0	1
2022.05.16	18:29:00	8607.6	8607.6	8606.6	8606.7	60	0	1
2022.05.16	18:30:00	8606.6	8607.7	8606.6	8607.3	60	0	1
2022.05.16	18:31:00	8607.2	8607.5	8606.8	8607.3	60	0	1
2022.05.16	18:32:00	8607.4	8608.0	8607.4	8607.7	60	0	1
2022.05.16	18:33:00	8607.6	8608.2	8607.3	8607.9	60	0	1
2022.05.16	18:34:00	8607.8	8608.1	8606.8	8606.9	60	0	1
2022.05.16	18:35:00	8606.8	8607.6	8606.7	8607.3	60	0	1
2022.05.16	18:36:00	8607.4	8608.6	8607.1	8608.5	60	0	1
2022.05.16	18:37:00	8608.4	8608.9	8608.1	8608.7	60	0	1
2022.05.16	18:38:00	8608.8	8609.8	8608.4	8609.7	60	0	1
2022.05.16	18:39:00	8609.8	8610.6	8609.7	8610.3	60	0	1
2022.05.16	18:40:00	8610.2	8610.2	8609.1	8609.1	60	0	1
2022.05.16	18:41:00	8609.0	8609.6	8608.9	8609.1	60	0	1
2022.05.16	18:42:00	8609.0	8609.6	8608.7	8609.3	60	0	1
2022.05.16	18:43:00	8609.4	8609.5	8608.9	8608.9	60	0	1
2022.05.16	18:44:00	8608.8	8609.6	8608.5	8608.5	60	0	1
2022.05.16	18:45:00	8608.4	8608.7	8607.5	8607.7	60	0	1
2022.05.16	18:46:00	8607.6	8607.8	8606.9	8607.1	60	0	1
2022.05.16	18:47:00	8607.0	8607.0	8606.2	8606.5	60	0	1
2022.05.16	18:48:00	8606.6	8606.7	8605.4	8605.7	60	0	1
2022.05.16	18:49:00	8605.6	8606.2	8605.3	8605.5	60	0	1
2022.05.16	18:50:00	8605.4	8606.4	8605.4	8606.1	60	0	1
2022.05.16	18:51:00	8606.0	8606.8	8605.7	8606.5	60	0	1
2022.05.16	18:52:00	8606.6	8608.0	8606.6	8606.9	60	0	1
2022.05.16	18:53:00	8607.0	8607.6	8606.9	8607.5	60	0	1
2022.05.16	18:54:00	8607.6	8608.4	8607.3	8607.3	60	0	1
2022.05.16	18:55:00	8607.4	8608.1	8607.3	8607.7	60	0	1
2022.05.16	18:56:00	8607.6	8608.1	8607.1	8607.1	60	0	1
2022.05.16	18:57:00	8607.2	8608.5	8607.0	8608.5	60	0	1
2022.05.16	18:58:00	8608.4	8609.1	8608.2	8608.5	60	0	1
2022.05.16	18:59:00	8608.6	8609.1	8608.4	8608.5	60	0	1
2022.05.16	19:00:00	8608.6	8609.5	8608.5	8609.5	60	0	1
2022.05.16	19:01:00	8609.4	8609.9	8608.5	8608.5	60	0	1
2022.05.16	19:02:00	8608.4	8609.3	8608.2	8609.3	60	0	1
2022.05.16	19:03:00	8609.4	8609.8	8608.7	8608.9	60	0	1
2022.05.16	19:04:00	8608.8	8609.4	8608.5	8609.3	60	0	1
2022.05.16	19:05:00	8609.2	8609.8	8608.8	8608.9	60	0	1
2022.05.16	19:06:00	8609.0	8610.6	8608.8	8610.3	60	0	1
2022.05.16	19:07:00	8610.2	8610.5	8609.1	8609.1	60	0	1
2022.05.16	19:08:00	8609.2	8609.7	8608.4	8608.9	60	0	1
2022.05.16	19:09:00	8609.0	8610.0	8608.7	8609.5	60	0	1
2022.05.16	19:10:00	8609.6	8610.3	8608.7	8608.7	60	0	1
2022.05.16	19:11:00	8608.8	8609.3	8608.0	8608.3	60	0	1
2022.05.16	19:12:00	8608.4	8609.2	8607.7	8608.9	60	0	1
2022.05.16	19:13:00	8608.8	8610.1	8608.5	8609.5	60	0	1
2022.05.16	19:14:00	8609.4	8609.5	8608.8	8608.9	60	0	1
2022.05.16	19:15:00	8609.0	8609.2	8608.7	8608.7	60	0	1
2022.05.16	19:16:00	8608.8	8609.0	8607.9	8607.9	60	0	1
2022.05.16	19:17:00	8607.8	8608.2	8607.2	8607.3	60	0	1
2022.05.16	19:18:00	8607.4	8607.7	8606.7	8607.5	60	0	1
2022.05.16	19:19:00	8607.6	8607.6	8605.8	8605.9	60	0	1
2022.05.16	19:20:00	8605.8	8605.9	8604.8	8604.9	60	0	1
2022.05.16	19:21:00	8605.0	8606.1	8605.0	8605.5	60	0	1
2022.05.16	19:22:00	8605.6	8605.7	8604.2	8604.3	60	0	1
2022.05.16	19:23:00	8604.4	8605.1	8604.4	8604.7	60	0	1
2022.05.16	19:24:00	8604.8	8605.1	8604.2	8604.7	60	0	1
2022.05.16	19:25:00	8604.8	8604.9	8603.0	8603.1	60	0	1
2022.05.16	19:26:00	8603.0	8603.3	8602.4	8602.5	60	0	1
2022.05.16	19:27:00	8602.6	8602.8	8602.2	8602.5	60	0	1
2022.05.16	19:28:00	8602.6	8604.4	8602.6	8604.3	60	0	1
2022.05.16	19:29:00	8604.4	8604.6	8602.8	8602.9	60	0	1
2022.05.16	19:30:00	8603.0	8603.2	8602.6	8602.9	60	0	1
2022.05.16	19:31:00	8602.8	8603.5	8602.6	8603.5	60	0	1
2022.05.16	19:32:00	8603.4	8603.5	8602.0	8602.1	60	0	1
2022.05.16	19:33:00	8602.2	8602.3	8601.5	8601.9	60	0	1
2022.05.16	19:34:00	8602.0	8602.1	8601.4	8601.7	60	0	1
2022.05.16	19:35:00	8601.8	8602.0	8600.3	8600.5	60	0	1
2022.05.16	19:36:00	8600.4	8600.4	8598.9	8599.3	60	0	1
2022.05.16	19:37:00	8599.4	8600.7	8599.3	8600.5	60	0	1
2022.05.16	19:38:00	8600.4	8601.6	8600.3	8601.5	60	0	1
2022.05.16	19:39:00	8601.4	8602.3	8601.2	8602.1	60	0	1
2022.05.16	19:40:00	8602.0	8602.1	8600.7	8601.7	60	0	1
2022.05.16	19:41:00	8601.6	8602.6	8601.6	8602.5	60	0	1
2022.05.16	19:42:00	8602.4	8603.3	8602.3	8603.1	60	0	1
2022.05.16	19:43:00	8603.2	8603.2	8601.6	8601.7	60	0	1
2022.05.16	19:44:00	8601.8	8601.8	8600.6	8600.7	60	0	1
2022.05.16	19:45:00	8600.8	8601.8	8600.7	8601.7	60	0	1
2022.05.16	19:46:00	8601.8	8602.1	8601.4	8601.7	60	0	1
2022.05.16	19:47:00	8601.6	8602.7	8601.4	8601.9	60	0	1
2022.05.16	19:48:00	8602.0	8603.6	8601.9	8602.7	60	0	1
2022.05.16	19:49:00	8602.8	8603.8	8602.6	8603.7	60	0	1
2022.05.16	19:50:00	8603.6	8603.6	8602.6	8603.5	60	0	1
2022.05.16	19:51:00	8603.6	8603.9	8602.6	8602.9	60	0	1
2022.05.16	19:52:00	8603.0	8603.9	8602.9	8603.5	60	0	1
2022.05.16	19:53:00	8603.4	8603.8	8602.7	8602.7	60	0	1
2022.05.16	19:54:00	8602.6	8603.1	8602.4	8602.7	60	0	1
2022.05.16	19:55:00	8602.6	8602.8	8602.1	8602.7	60	0	1
2022.05.16	19:56:00	8602.8	8603.6	8602.5	8603.5	60	0	1
2022.05.16	19:57:00	8603.4	8604.3	8603.2	8604.3	60	0	1
2022.05.16	19:58:00	8604.2	8604.7	8603.8	8604.5	60	0	1
2022.05.16	19:59:00	8604.4	8605.0	8604.0	8604.9	60	0	1
2022.05.16	20:00:00	8605.0	8606.0	8604.6	8605.1	60	0	1
2022.05.16	20:01:00	8605.2	8605.2	8604.4	8604.7	60	0	1
2022.05.16	20:02:00	8604.6	8605.8	8604.6	8605.1	60	0	1
2022.05.16	20:03:00	8605.0	8605.0	8604.4	8604.9	60	0	1
2022.05.16	20:04:00	8604.8	8605.0	8604.3	8604.5	60	0	1
2022.05.16	20:05:00	8604.6	8605.3	8604.3	8604.9	60	0	1
2022.05.16	20:06:00	8605.0	8606.4	8605.0	8606.1	60	0	1
2022.05.16	20:07:00	8606.0	8607.0	8606.0	8606.9	60	0	1
2022.05.16	20:08:00	8606.8	8607.0	8606.1	8606.5	60	0	1
2022.05.16	20:09:00	8606.4	8607.6	8606.2	8607.5	60	0	1
2022.05.16	20:10:00	8607.6	8608.7	8607.6	8608.7	60	0	1
2022.05.16	20:11:00	8608.6	8609.0	8608.0	8608.7	60	0	1
2022.05.16	20:12:00	8608.8	8609.7	8608.7	8609.7	60	0	1
2022.05.16	20:13:00	8609.8	8609.8	8609.3	8609.7	60	0	1
2022.05.16	20:14:00	8609.6	8609.6	8608.3	8608.5	60	0	1
2022.05.16	20:15:00	8608.6	8609.8	8608.4	8609.5	60	0	1
2022.05.16	20:16:00	8609.6	8609.6	8608.9	8608.9	60	0	1
2022.05.16	20:17:00	8609.0	8609.1	8608.1	8608.5	60	0	1
2022.05.16	20:18:00	8608.4	8609.1	8607.8	8608.5	60	0	1
2022.05.16	20:19:00	8608.4	8608.4	8606.5	8606.5	60	0	1
2022.05.16	20:20:00	8606.4	8607.3	8606.4	8607.1	60	0	1
2022.05.16	20:21:00	8607.2	8608.8	8607.0	8608.7	60	0	1
2022.05.16	20:22:00	8608.6	8609.1	8607.8	8607.9	60	0	1
2022.05.16	20:23:00	8607.8	8607.8	8606.4	8606.7	60	0	1
2022.05.16	20:24:00	8606.8	8607.1	8604.7	8604.7	60	0	1
2022.05.16	20:25:00	8604.8	8605.7	8604.8	8605.3	60	0	1
2022.05.16	20:26:00	8605.2	8605.7	8604.7	8604.7	60	0	1
2022.05.16	20:27:00	8604.8	8605.1	8603.8	8604.1	60	0	1
2022.05.16	20:28:00	8604.0	8604.1	8602.4	8602.5	60	0	1
2022.05.16	20:29:00	8602.6	8603.0	8601.6	8601.7	60	0	1
2022.05.16	20:30:00	8601.6	8601.9	8600.8	8601.9	60	0	1
2022.05.16	20:31:00	8601.8	8603.5	8601.6	8602.9	60	0	1
2022.05.16	20:32:00	8603.0	8603.5	8602.3	8603.1	60	0	1
2022.05.16	20:33:00	8603.0	8603.7	8602.8	8602.9	60	0	1
2022.05.16	20:34:00	8602.8	8603.5	8602.7	8603.1	60	0	1
2022.05.16	20:35:00	8603.2	8603.8	8603.2	8603.7	60	0	1
2022.05.16	20:36:00	8603.8	8604.5	8603.1	8603.5	60	0	1
2022.05.16	20:37:00	8603.4	8604.8	8603.3	8604.5	60	0	1
2022.05.16	20:38:00	8604.6	8604.7	8603.4	8603.5	60	0	1
2022.05.16	20:39:00	8603.6	8603.9	8602.9	8603.1	60	0	1
2022.05.16	20:40:00	8603.2	8604.0	8603.0	8603.3	60	0	1
2022.05.16	20:41:00	8603.2	8604.5	8603.2	8604.1	60	0	1
2022.05.16	20:42:00	8604.2	8605.6	8604.2	8605.5	60	0	1
2022.05.16	20:43:00	8605.4	8605.5	8604.4	8604.7	60	0	1
2022.05.16	20:44:00	8604.6	8605.0	8604.4	8604.7	60	0	1
2022.05.16	20:45:00	8604.8	8605.7	8604.3	8604.3	60	0	1
2022.05.16	20:46:00	8604.2	8604.4	8602.7	8602.7	60	0	1
2022.05.16	20:47:00	8602.8	8603.0	8602.0	8602.9	60	0	1
2022.05.16	20:48:00	8602.8	8602.8	8600.9	8601.5	60	0	1
2022.05.16	20:49:00	8601.4	8602.7	8601.2	8602.5	60	0	1
2022.05.16	20:50:00	8602.6	8602.8	8602.1	8602.1	60	0	1
2022.05.16	20:51:00	8602.0	8602.3	8600.4	8600.9	60	0	1
2022.05.16	20:52:00	8600.8	8601.3	8600.5	8600.7	60	0	1
2022.05.16	20:53:00	8600.6	8601.9	8600.3	8601.7	60	0	1
2022.05.16	20:54:00	8601.6	8602.6	8601.4	8602.3	60	0	1
2022.05.16	20:55:00	8602.2	8603.3	8602.1	8603.1	60	0	1
2022.05.16	20:56:00	8603.2	8603.7	8602.8	8603.5	60	0	1
2022.05.16	20:57:00	8603.6	8604.5	8603.5	8603.5	60	0	1
2022.05.16	20:58:00	8603.6	8604.3	8603.3	8603.3	60	0	1
2022.05.16	20:59:00	8603.2	8603.2	8601.9	8602.1	60	0	1
2022.05.16	21:00:00	8602.2	8603.5	8602.2	8603.3	60	0	1
2022.05.16	21:01:00	8603.2	8603.3	8601.6	8601.9	60	0	1
2022.05.16	21:02:00	8602.0	8602.3	8601.6	8601.9	60	0	1
2022.05.16	21:03:00	8601.8	8602.4	8600.9	8601.3	60	0	1
2022.05.16	21:04:00	8601.4	8602.6	8601.4	8601.5	60	0	1
2022.05.16	21:05:00	8601.6	8602.4	8601.6	8602.1	60	0	1
2022.05.16	21:06:00	8602.0	8603.3	8602.0	8603.1	60	0	1
2022.05.16	21:07:00	8603.0	8603.2	8602.2	8602.5	60	0	1
2022.05.16	21:08:00	8602.6	8603.4	8602.4	8602.9	60	0	1
2022.05.16	21:09:00	8602.8	8603.5	8602.5	8602.7	60	0	1
2022.05.16	21:10:00	8602.6	8602.9	8602.2	8602.5	60	0	1
2022.05.16	21:11:00	8602.6	8602.9	8601.6	8601.9	60	0	1
2022.05.16	21:12:00	8601.8	8604.1	8601.7	8604.1	60	0	1
2022.05.16	21:13:00	8604.2	8604.8	8604.0	8604.7	60	0	1
2022.05.16	21:14:00	8604.8	8605.0	8604.3	8604.7	60	0	1
2022.05.16	21:15:00	8604.8	8606.5	8604.6	8606.5	60	0	1
2022.05.16	21:16:00	8606.4	8607.4	8606.0	8607.1	60	0	1
2022.05.16	21:17:00	8607.2	8607.9	8607.1	8607.5	60	0	1
2022.05.16	21:18:00	8607.4	8608.0	8607.3	8607.5	60	0	1
2022.05.16	21:19:00	8607.6	8607.9	8607.0	8607.1	60	0	1
2022.05.16	21:20:00	8607.0	8607.5	8606.8	8606.9	60	0	1
2022.05.16	21:21:00	8607.0	8607.5	8606.3	8606.3	60	0	1
2022.05.16	21:22:00	8606.2	8606.8	8605.7	8606.3	60	0	1
2022.05.16	21:23:00	8606.2	8607.7	8606.0	8607.7	60	0	1
2022.05.16	21:24:00	8607.8	8609.0	8607.8	8608.7	60	0	1
2022.05.16	21:25:00	8608.6	8609.4	8608.0	8609.3	60	0	1
2022.05.16	21:26:00	8609.4	8610.5	8609.4	8610.1	60	0	1
2022.05.16	21:27:00	8610.0	8610.6	8609.8	8610.5	60	0	1
2022.05.16	21:28:00	8610.4	8611.3	8610.0	8610.9	60	0	1
2022.05.16	21:29:00	8611.0	8611.5	8610.6	8611.3	60	0	1
2022.05.16	21:30:00	8611.4	8611.4	8610.7	8610.7	60	0	1
2022.05.16	21:31:00	8610.6	8610.6	8608.3	8608.3	60	0	1
2022.05.16	21:32:00	8608.4	8609.9	8608.3	8609.9	60	0	1
2022.05.16	21:33:00	8610.0	8610.8	8609.5	8610.7	60	0	1
2022.05.16	21:34:00	8610.6	8611.4	8610.5	8610.9	60	0	1
2022.05.16	21:35:00	8611.0	8612.4	8611.0	8612.3	60	0	1
2022.05.16	21:36:00	8612.4	8612.8	8611.9	8612.5	60	0	1
2022.05.16	21:37:00	8612.6	8612.7	8611.7	8611.7	60	0	1
2022.05.16	21:38:00	8611.6	8612.8	8611.4	8612.5	60	0	1
2022.05.16	21:39:00	8612.4	8612.5	8611.7	8611.7	60	0	1
2022.05.16	21:40:00	8611.8	8612.7	8611.6	8612.7	60	0	1
2022.05.16	21:41:00	8612.6	8612.6	8611.3	8611.9	60	0	1
2022.05.16	21:42:00	8611.8	8613.1	8611.7	8613.1	60	0	1
2022.05.16	21:43:00	8613.0	8613.0	8612.0	8612.5	60	0	1
2022.05.16	21:44:00	8612.4	8613.8	8612.3	8613.3	60	0	1
2022.05.16	21:45:00	8613.2	8614.1	8613.0	8613.7	60	0	1
2022.05.16	21:46:00	8613.8	8613.9	8612.7	8613.1	60	0	1
2022.05.16	21:47:00	8613.0	8613.0	8612.1	8612.1	60	0	1
2022.05.16	21:48:00	8612.0	8612.2	8610.8	8611.1	60	0	1
2022.05.16	21:49:00	8611.0	8611.5	8610.6	8610.7	60	0	1
2022.05.16	21:50:00	8610.6	8611.6	8610.4	8611.3	60	0	1
2022.05.16	21:51:00	8611.2	8612.9	8610.6	8612.7	60	0	1
2022.05.16	21:52:00	8612.6	8613.3	8611.0	8611.1	60	0	1
2022.05.16	21:53:00	8611.2	8612.7	8610.9	8612.3	60	0	1
2022.05.16	21:54:00	8612.2	8612.9	8612.0	8612.7	60	0	1
2022.05.16	21:55:00	8612.8	8613.1	8612.1	8612.9	60	0	1
2022.05.16	21:56:00	8612.8	8612.8	8612.1	8612.1	60	0	1
2022.05.16	21:57:00	8612.0	8612.1	8611.4	8611.7	60	0	1
2022.05.16	21:58:00	8611.8	8612.1	8610.9	8611.5	60	0	1
2022.05.16	21:59:00	8611.4	8612.1	8611.3	8611.7	60	0	1
2022.05.16	22:00:00	8611.8	8611.8	8611.0	8611.1	60	0	1
2022.05.16	22:01:00	8611.0	8612.0	8610.8	8611.9	60	0	1
2022.05.16	22:02:00	8612.0	8612.3	8611.3	8611.3	60	0	1
2022.05.16	22:03:00	8611.4	8611.4	8610.3	8610.9	60	0	1
2022.05.16	22:04:00	8610.8	8611.8	8610.0	8611.5	60	0	1
2022.05.16	22:05:00	8611.6	8611.9	8610.9	8610.9	60	0	1
2022.05.16	22:06:00	8611.0	8612.4	8611.0	8611.9	60	0	1
2022.05.16	22:07:00	8612.0	8612.9	8611.8	8612.7	60	0	1
2022.05.16	22:08:00	8612.8	8613.6	8612.4	8613.1	60	0	1
2022.05.16	22:09:00	8613.2	8614.0	8613.0	8613.3	60	0	1
2022.05.16	22:10:00	8613.2	8613.3	8612.3	8613.1	60	0	1
2022.05.16	22:11:00	8613.0	8613.7	8612.9	8613.1	60	0	1
2022.05.16	22:12:00	8613.0	8613.3	8612.3	8612.5	60	0	1
2022.05.16	22:13:00	8612.6	8612.7	8612.1	8612.5	60	0	1
2022.05.16	22:14:00	8612.4	8612.9	8612.3	8612.5	60	0	1
2022.05.16	22:15:00	8612.4	8612.7	8611.9	8611.9	60	0	1
2022.05.16	22:16:00	8612.0	8612.2	8611.3	8612.1	60	0	1
2022.05.16	22:17:00	8612.0	8612.5	8610.9	8611.5	60	0	1
2022.05.16	22:18:00	8611.6	8612.2	8611.5	8611.9	60	0	1
2022.05.16	22:19:00	8612.0	8612.7	8611.9	8612.7	60	0	1
2022.05.16	22:20:00	8612.6	8614.4	8612.6	8614.3	60	0	1
2022.05.16	22:21:00	8614.2	8615.1	8613.6	8613.7	60	0	1
2022.05.16	22:22:00	8613.8	8615.0	8613.7	8613.7	60	0	1
2022.05.16	22:23:00	8613.8	8614.3	8613.1	8613.3	60	0	1
2022.05.16	22:24:00	8613.4	8613.5	8612.7	8613.1	60	0	1
2022.05.16	22:25:00	8613.2	8614.3	8613.2	8614.1	60	0	1
2022.05.16	22:26:00	8614.0	8614.9	8613.9	8614.9	60	0	1
2022.05.16	22:27:00	8614.8	8614.9	8614.0	8614.3	60	0	1
2022.05.16	22:28:00	8614.4	8615.6	8613.9	8615.3	60	0	1
2022.05.16	22:29:00	8615.4	8616.1	8614.8	8615.9	60	0	1
2022.05.16	22:30:00	8615.8	8616.9	8615.8	8616.1	60	0	1
2022.05.16	22:31:00	8616.0	8616.0	8614.8	8615.7	60	0	1
2022.05.16	22:32:00	8615.8	8617.7	8615.7	8617.5	60	0	1
2022.05.16	22:33:00	8617.6	8617.6	8616.3	8616.9	60	0	1
2022.05.16	22:34:00	8617.0	8618.2	8617.0	8618.1	60	0	1
2022.05.16	22:35:00	8618.2	8618.5	8617.7	8618.3	60	0	1
2022.05.16	22:36:00	8618.4	8618.6	8617.2	8617.9	60	0	1
2022.05.16	22:37:00	8618.0	8618.5	8617.4	8617.5	60	0	1
2022.05.16	22:38:00	8617.6	8617.6	8616.5	8616.7	60	0	1
2022.05.16	22:39:00	8616.6	8616.7	8615.8	8616.1	60	0	1
2022.05.16	22:40:00	8616.2	8616.4	8615.3	8615.5	60	0	1
2022.05.16	22:41:00	8615.4	8615.5	8614.6	8615.5	60	0	1
2022.05.16	22:42:00	8615.4	8616.2	8615.2	8615.7	60	0	1
2022.05.16	22:43:00	8615.8	8615.9	8615.2	8615.5	60	0	1
2022.05.16	22:44:00	8615.4	8615.8	8614.9	8615.1	60	0	1
2022.05.16	22:45:00	8615.0	8615.3	8614.1	8614.1	60	0	1
2022.05.16	22:46:00	8614.2	8614.6	8613.8	8614.1	60	0	1
2022.05.16	22:47:00	8614.0	8614.5	8613.7	8613.9	60	0	1
2022.05.16	22:48:00	8614.0	8614.2	8613.2	8613.5	60	0	1
2022.05.16	22:49:00	8613.6	8615.0	8613.2	8614.7	60	0	1
2022.05.16	22:50:00	8614.6	8615.3	8614.5	8614.7	60	0	1
2022.05.16	22:51:00	8614.6	8614.6	8613.5	8613.5	60	0	1
2022.05.16	22:52:00	8613.6	8615.0	8613.6	8614.5	60	0	1
2022.05.16	22:53:00	8614.4	8614.8	8613.4	8613.7	60	0	1
2022.05.16	22:54:00	8613.6	8614.1	8613.1	8613.9	60	0	1
2022.05.16	22:55:00	8613.8	8614.1	8612.8	8613.1	60	0	1
2022.05.16	22:56:00	8613.2	8613.3	8612.2	8613.1	60	0	1
2022.05.16	22:57:00	8613.0	8613.1	8612.5	8612.7	60	0	1
2022.05.16	22:58:00	8612.8	8613.5	8612.7	8613.1	60	0	1
2022.05.16	22:59:00	8613.0	8613.1	8610.5	8610.5	60	0	1
2022.05.16	23:00:00	8610.4	8610.4	8609.1	8609.5	60	0	1
2022.05.16	23:01:00	8609.6	8611.0	8609.6	8610.5	60	0	1
2022.05.16	23:02:00	8610.4	8612.1	8610.3	8612.1	60	0	1
2022.05.16	23:03:00	8612.0	8612.0	8610.3	8610.3	60	0	1
2022.05.16	23:04:00	8610.2	8610.4	8609.7	8609.7	60	0	1
2022.05.16	23:05:00	8609.6	8610.9	8609.6	8610.7	60	0	1
2022.05.16	23:06:00	8610.6	8610.8	8609.7	8610.5	60	0	1
2022.05.16	23:07:00	8610.4	8610.9	8610.0	8610.1	60	0	1
2022.05.16	23:08:00	8610.2	8610.8	8609.8	8610.7	60	0	1
2022.05.16	23:09:00	8610.8	8611.0	8610.4	8610.9	60	0	1
2022.05.16	23:10:00	8610.8	8611.5	8610.1	8610.1	60	0	1
2022.05.16	23:11:00	8610.0	8610.5	8609.5	8609.9	60	0	1
2022.05.16	23:12:00	8609.8	8611.1	8609.4	8611.1	60	0	1
2022.05.16	23:13:00	8611.2	8611.7	8610.9	8610.9	60	0	1
2022.05.16	23:14:00	8610.8	8611.1	8610.3	8610.9	60	0	1
2022.05.16	23:15:00	8611.0	8611.9	8610.6	8611.9	60	0	1
